well,well_plate,Antibody,Gene,ENSG,U-2 OS (tpm),Gene desc,Results_final_update,Compartment
D10,D10_55245981,HPA035317,FBXL19,ENSG00000099364,28.27,F-box and leucine-rich repeat protein 19,notccd,Cell
E10,E10_55245981,HPA035330,ANXA5,ENSG00000164111,622.21,annexin A5,no variation,not found in excel lookup
F10,F10_55245981,HPA035349,PAPOLG,ENSG00000115421,8.5,poly(A) polymerase gamma,notccd,nucleus
G10,G10_55245981,HPA035354,BARD1,ENSG00000138376,12.65,BRCA1 associated RING domain 1,notccd,nucleus
H10,H10_55245981,HPA035464,TFF3,ENSG00000160180,0.1,trefoil factor 3 (intestinal),notccd,Nucleus
A11,A11_55245981,HPA035494,TTC21B,ENSG00000123607,7.66,tetratricopeptide repeat domain 21B,ccd,Cell
B11,B11_55245981,HPA035648,NME5,ENSG00000112981,0.1,NME/NM23 family member 5,notccd,Nucleus
C11,C11_55245981,HPA035777,ARHGAP19,ENSG00000213390,7.16,Rho GTPase activating protein 19,no variation,not found in excel lookup
D11,D11_55245981,HPA035812,PCDHA12,ENSG00000251664,1.81,protocadherin alpha 12,notccd,Cytosol
E11,E11_55245981,HPA035831,CDC7,ENSG00000097046,24.61,cell division cycle 7,ccd,not found in excel lookup
F11,F11_55245981,HPA035865,H2AFY2,ENSG00000099284,30.55,"H2A histone family, member Y2",notccd,Nucleus
G11,G11_55245981,HPA035905,PALLD,ENSG00000129116,193.87,"palladin, cytoskeletal associated protein",notccd,Cell
H11,H11_55245981,HPA035936,ZFYVE16,ENSG00000039319,11.45,"zinc finger, FYVE domain containing 16",ccd,Cell
A12,A12_55245981,HPA035938,ZSWIM6,ENSG00000130449,9.69,"zinc finger, SWIM-type containing 6",no variation,not found in excel lookup
B12,B12_55245981,HPA035947,MED31,ENSG00000108590,19.38,mediator complex subunit 31,ccd,Nucleus
C12,C12_55245981,HPA036033,PIK3R4,ENSG00000196455,14.11,"phosphoinositide-3-kinase, regulatory subunit 4",negative,not found in excel lookup
D12,D12_55245981,HPA036049,FBXL18,ENSG00000155034,22.36,F-box and leucine-rich repeat protein 18,notccd,Cell
E12,E12_55245981,HPA036114,FTCD,ENSG00000160282,0.5,formimidoyltransferase cyclodeaminase,notccd,Cytosol
F12,F12_55245981,HPA036223,GLS,ENSG00000115419,99.82,glutaminase,notccd,Cell
G12,G12_55245981,HPA036256,EIF2A,ENSG00000144895,67.96,"eukaryotic translation initiation factor 2A, 65kDa",notccd,Cell
A01,A01_55215982,HPA036299,MYPN,ENSG00000138347,0.22,myopalladin,ccd,nucleus
B01,B01_55215982,HPA036304,TTC3,ENSG00000182670,20.48,tetratricopeptide repeat domain 3,notccd,Nucleus
C01,C01_55215982,HPA036322,GUSB,ENSG00000169919,47.62,"glucuronidase, beta",notccd,Cell
D01,D01_55215982,HPA036341,ADGB,ENSG00000118492,0,androglobin,notccd,Cell
E01,E01_55215982,HPA036370,KIAA1586,ENSG00000168116,7.72,KIAA1586,notccd,Nucleus
F01,F01_55215982,HPA036408,LRPPRC,ENSG00000138095,90.15,leucine-rich pentatricopeptide repeat containing,notccd,Cell
G01,G01_55215982,HPA036522,HOMER1,ENSG00000152413,17.66,homer scaffolding protein 1,notccd,Cytosol
H01,H01_55215982,HPA036569,HNRNPA0,ENSG00000177733,34.42,heterogeneous nuclear ribonucleoprotein A0,notccd,Nucleus
A02,A02_55215982,HPA036576,TPPP,ENSG00000171368,2.98,tubulin polymerization promoting protein,negative,not found in excel lookup
B02,B02_55215982,HPA036592,DDX21,ENSG00000165732,139.83,DEAD (Asp-Glu-Ala-Asp) box helicase 21,ccd,nucleus
C02,C02_55215982,HPA036608,FAM76B,ENSG00000077458,14.84,"family with sequence similarity 76, member B",notccd,Nucleus
D02,D02_55215982,HPA036656,UGDH,ENSG00000109814,47.98,UDP-glucose 6-dehydrogenase,ccd,nucleus
E02,E02_55215982,HPA036708,CALN1,ENSG00000183166,7.66,calneuron 1,notccd,Cell
F02,F02_55215982,HPA036738,TOPBP1,ENSG00000163781,52.44,topoisomerase (DNA) II binding protein 1,notccd,nucleus
G02,G02_55215982,HPA036743,GNL3,ENSG00000163938,94.49,guanine nucleotide binding protein-like 3 (nucleolar),notccd,Nucleus
H02,H02_55215982,HPA036745,PDHB,ENSG00000168291,85.84,pyruvate dehydrogenase (lipoamide) beta,notccd,Cell
A03,A03_55215982,HPA036772,RNPEPL1,ENSG00000142327,11.18,arginyl aminopeptidase (aminopeptidase B)-like 1,no variation,not found in excel lookup
B03,B03_55215982,HPA036846,ABCE1,ENSG00000164163,90.01,"ATP-binding cassette, sub-family E (OABP), member 1",notccd,Cytosol
C03,C03_55215982,HPA036886,MAEA,ENSG00000090316,37.72,macrophage erythroblast attacher,ccd,nucleus
D03,D03_55215982,HPA036887,RIF1,ENSG00000080345,24.59,replication timing regulatory factor 1,notccd,Cell
E03,E03_55215982,HPA036938,TRNT1,ENSG00000072756,21.79,"tRNA nucleotidyl transferase, CCA-adding, 1",notccd,Cell
F03,F03_55215982,HPA036986,QARS,ENSG00000172053,105.47,glutaminyl-tRNA synthetase,notccd,cytosol
G03,G03_55215982,HPA037366,NOLC1,ENSG00000166197,96.18,nucleolar and coiled-body phosphoprotein 1,notccd,nucleus
H03,H03_55215982,HPA037421,THAP9,ENSG00000168152,1.67,THAP domain containing 9,notccd,Cell
A04,A04_55215982,HPA037431,GCNT4,ENSG00000176928,0.24,"glucosaminyl (N-acetyl) transferase 4, core 2",notccd,Cell
B04,B04_55215982,HPA037474,TMCO6,ENSG00000113119,3.65,transmembrane and coiled-coil domains 6,notccd,Cell
C04,C04_55215982,HPA037489,IMPA1,ENSG00000133731,34.29,inositol(myo)-1(or 4)-monophosphatase 1,notccd,Cell
D04,D04_55215982,HPA037516,TSSK3,ENSG00000162526,2.7,testis-specific serine kinase 3,no variation,not found in excel lookup
E04,E04_55215982,HPA037565,WDR37,ENSG00000047056,3.27,WD repeat domain 37,notccd,Cell
F04,F04_55215982,HPA037597,MPP7,ENSG00000150054,13.22,"membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)",notccd,Nucleus
G04,G04_55215982,HPA037683,SH3TC2,ENSG00000169247,1.02,SH3 domain and tetratricopeptide repeats 2,ccd,Cell
H04,H04_55215982,HPA037697,RFX6,ENSG00000185002,0.15,"regulatory factor X, 6",ccd,nucleus
A05,A05_55215982,HPA037704,LSG1,ENSG00000041802,36.02,large 60S subunit nuclear export GTPase 1,notccd,Nucleus
B05,B05_55215982,HPA037708,AURKB,ENSG00000178999,80.49,aurora kinase B,ccd,nucleus
C05,C05_55215982,HPA037716,ACAD9,ENSG00000177646,17.34,"acyl-CoA dehydrogenase family, member 9",notccd,Cell
D05,D05_55215982,HPA037781,PSTK,ENSG00000179988,2.64,phosphoseryl-tRNA kinase,notccd,Cell
E05,E05_55215982,HPA037820,ZNF487,ENSG00000243660,1.79,zinc finger protein 487,notccd,Nucleus
F05,F05_55215982,HPA037835,BEND7,ENSG00000165626,15.54,BEN domain containing 7,ccd,nucleus
G05,G05_55215982,HPA037843,AFAP1L2,ENSG00000169129,0.5,actin filament associated protein 1-like 2,no variation,not found in excel lookup
H05,H05_55215982,HPA037867,COPG1,ENSG00000181789,96.49,"coatomer protein complex, subunit gamma 1",notccd,Cell
A06,A06_55215982,HPA037880,EXOC3,ENSG00000180104,34.6,exocyst complex component 3,notccd,Cell
B06,B06_55215982,HPA037912,RUNX1,ENSG00000159216,33.85,runt-related transcription factor 1,notccd,Nucleus
C06,C06_55215982,HPA037924,OBFC1,ENSG00000107960,16.47,oligonucleotide/oligosaccharide-binding fold containing 1,negative,not found in excel lookup
D06,D06_55215982,HPA037940,PRF1,ENSG00000180644,0.09,perforin 1 (pore forming protein),negative,not found in excel lookup
E06,E06_55215982,HPA037991,MAP6D1,ENSG00000180834,4.21,MAP6 domain containing 1,no variation,not found in excel lookup
F06,F06_55215982,HPA038091,KIAA0930,ENSG00000100364,53.19,KIAA0930,notccd,Cell
G06,G06_55215982,HPA038122,CREB3L4,ENSG00000143578,7.8,cAMP responsive element binding protein 3-like 4,notccd,Cell
H06,H06_55215982,HPA038130,C10orf67,ENSG00000179133,0.76,chromosome 10 open reading frame 67,ccd,nucleus
A07,A07_55215982,HPA038186,PTMS,ENSG00000159335,267.29,parathymosin,notccd,nucleus
B07,B07_55215982,HPA038246,XPO6,ENSG00000169180,73.75,exportin 6,notccd,Nucleus
C07,C07_55215982,HPA038285,BHMT,ENSG00000145692,0.02,betaine--homocysteine S-methyltransferase,notccd,Cytosol
D07,D07_55215982,HPA038325,ST7,ENSG00000004866,11.76,suppression of tumorigenicity 7,notccd,Nucleus
E07,E07_55215982,HPA038386,ARSI,ENSG00000183876,10.92,"arylsulfatase family, member I",no variation,not found in excel lookup
F07,F07_55215982,HPA038419,WDR74,ENSG00000133316,49.83,WD repeat domain 74,no variation,not found in excel lookup
G07,G07_55215982,HPA038452,PIK3AP1,ENSG00000155629,3.01,phosphoinositide-3-kinase adaptor protein 1,notccd,Cell
H07,H07_55215982,HPA038472,DIP2B,ENSG00000066084,10.77,disco-interacting protein 2 homolog B,notccd,Cell
A08,A08_55215982,HPA038513,MRPS35,ENSG00000061794,56.13,mitochondrial ribosomal protein S35,notccd,Cell
B08,B08_55215982,HPA038546,FCHSD2,ENSG00000137478,20.83,FCH and double SH3 domains 2,notccd,Cell
C08,C08_55215982,HPA038564,MSS51,ENSG00000166343,0.72,MSS51 mitochondrial translational activator,notccd,Cell
D08,D08_55215982,HPA038587,ACTR6,ENSG00000075089,4.72,ARP6 actin-related protein 6 homolog (yeast),notccd,Cell
E08,E08_55215982,HPA038619,CUTC,ENSG00000119929,12.53,cutC copper transporter,notccd,Nucleus
F08,F08_55215982,HPA038637,FAM111B,ENSG00000189057,55.35,"family with sequence similarity 111, member B",ccd,Cell
G08,G08_55215982,HPA038708,PWP1,ENSG00000136045,40.43,"PWP1 homolog, endonuclein",ccd,nucleus
H08,H08_55215982,HPA038716,UNC93B1,ENSG00000110057,12.77,unc-93 homolog B1 (C. elegans),notccd,Nucleus
A09,A09_55215982,HPA038800,TCF7L2,ENSG00000148737,19.95,"transcription factor 7-like 2 (T-cell specific, HMG-box)",ccd,nucleus
B09,B09_55215982,HPA038843,C11orf96,ENSG00000187479,3.78,chromosome 11 open reading frame 96,notccd,nucleus
C09,C09_55215982,HPA038904,PSPC1,ENSG00000121390,28.65,paraspeckle component 1,notccd,Nucleus
D09,D09_55215982,HPA038935,NRG2,ENSG00000158458,0.43,neuregulin 2,ccd,nucleus
E09,E09_55215982,HPA038968,NUDT15,ENSG00000136159,33.82,nudix (nucleoside diphosphate linked moiety X)-type motif 15,ccd,nucleus
F09,F09_55215982,HPA038976,DEF6,ENSG00000023892,0.68,DEF6 guanine nucleotide exchange factor,ccd,nucleus
G09,G09_55215982,HPA039050,C14orf80,ENSG00000185347,19.17,chromosome 14 open reading frame 80,notccd,Cell
H09,H09_55215982,HPA039216,CSTF2T,ENSG00000177613,23.23,"cleavage stimulation factor, 3' pre-RNA, subunit 2, 64kDa, tau variant",notccd,Nucleus
A10,A10_55215982,HPA039235,FGD4,ENSG00000139132,2,"FYVE, RhoGEF and PH domain containing 4",notccd,Cell
B10,B10_55215982,HPA039322,NAA25,ENSG00000111300,13.64,"N(alpha)-acetyltransferase 25, NatB auxiliary subunit",notccd,Cell
C10,C10_55215982,HPA039325,SDPR,ENSG00000168497,12.4,serum deprivation response,notccd,Cytosol
D10,D10_55215982,HPA039334,NUDT22,ENSG00000149761,17.33,nudix (nucleoside diphosphate linked moiety X)-type motif 22,notccd,Nucleus
E10,E10_55215982,HPA039374,CHID1,ENSG00000177830,41.13,chitinase domain containing 1,notccd,Cell
F10,F10_55215982,HPA039415,TEX9,ENSG00000151575,6.56,testis expressed 9,negative,not found in excel lookup
G10,G10_55215982,HPA039481,ALDH1L2,ENSG00000136010,4.01,"aldehyde dehydrogenase 1 family, member L2",notccd,Cell
H10,H10_55215982,HPA039492,CNTN5,ENSG00000149972,0.01,contactin 5,notccd,Cell
A11,A11_55215982,HPA039548,BLMH,ENSG00000108578,71.95,bleomycin hydrolase,notccd,Nucleus
B11,B11_55215982,HPA039618,GTPBP4,ENSG00000107937,17.01,GTP binding protein 4,notccd,Cell
C11,C11_55215982,HPA039630,LRRC20,ENSG00000172731,83.43,leucine rich repeat containing 20,notccd,Nucleus
D11,D11_55215982,HPA039700,ESD,ENSG00000139684,112.25,esterase D,notccd,Cell
E11,E11_55215982,HPA039717,PYM1,ENSG00000170473,29.59,"PYM homolog 1, exon junction complex associated factor",ccd,Cell
F11,F11_55215982,HPA039726,CCDC38,ENSG00000165972,0.23,coiled-coil domain containing 38,ccd,nucleus
G11,G11_55215982,HPA039737,SCEL,ENSG00000136155,1.94,sciellin,notccd,Cell
H11,H11_55215982,HPA039764,GPN3,ENSG00000111231,39.36,GPN-loop GTPase 3,notccd,Nucleus
A12,A12_55215982,HPA039774,ZNF324,ENSG00000083812,3.48,zinc finger protein 324,notccd,Nucleus
B12,B12_55215982,HPA039794,RAB3IP,ENSG00000127328,19.18,RAB3A interacting protein,notccd,Cell
C12,C12_55215982,HPA039799,ZNF385A,ENSG00000161642,10.96,zinc finger protein 385A,notccd,Cell
D12,D12_55215982,HPA039819,BET1L,ENSG00000177951,19.24,Bet1 golgi vesicular membrane trafficking protein-like,notccd,Cell
E12,E12_55215982,HPA039917,ANKRD42,ENSG00000137494,7.58,ankyrin repeat domain 42,notccd,Nucleus
F12,F12_55215982,HPA039945,MYCBP2,ENSG00000005810,9.51,"MYC binding protein 2, E3 ubiquitin protein ligase",notccd,Cytosol
G12,G12_55215982,HPA039950,ANKRD13D,ENSG00000172932,12.12,"ankyrin repeat domain 13 family, member D",notccd,Cell
A01,A01_55225983,HPA039973,CPSF6,ENSG00000111605,83.82,"cleavage and polyadenylation specific factor 6, 68kDa",notccd,Nucleus
B01,B01_55225983,HPA040004,CAPS2,ENSG00000180881,0.51,calcyphosine 2,notccd,Nucleus
C01,C01_55225983,HPA040070,RSRC2,ENSG00000111011,21.23,arginine/serine-rich coiled-coil 2,notccd,nucleus
D01,D01_55225983,HPA040092,HYI,ENSG00000178922,2.21,hydroxypyruvate isomerase (putative),notccd,Cell
E01,E01_55225983,HPA040112,ANO9,ENSG00000185101,0,anoctamin 9,no variation,not found in excel lookup
F01,F01_55225983,HPA040119,NOP2,ENSG00000111641,69.23,NOP2 nucleolar protein,notccd,Nucleus
G01,G01_55225983,HPA040150,LACC1,ENSG00000179630,1.14,laccase (multicopper oxidoreductase) domain containing 1,"no variation,ccd biologically defined but antibody failed",not found in excel lookup
H01,H01_55225983,HPA040208,SYCE1,ENSG00000171772,16.22,synaptonemal complex central element protein 1,notccd,Cell
A02,A02_55225983,HPA040255,VWA9,ENSG00000138614,35.04,von Willebrand factor A domain containing 9,notccd,Nucleus
B02,B02_55225983,HPA040267,DNHD1,ENSG00000179532,1.64,dynein heavy chain domain 1,ccd,nucleus
C02,C02_55225983,HPA040393,VPS4B,ENSG00000119541,28.35,vacuolar protein sorting 4 homolog B (S. cerevisiae),notccd,Cell
D02,D02_55225983,HPA040394,CTDP1,ENSG00000060069,19.62,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1",notccd,Cell
E02,E02_55225983,HPA040413,NEK1,ENSG00000137601,5.71,NIMA-related kinase 1,notccd,Nucleus
F02,F02_55225983,HPA040454,ITPKA,ENSG00000137825,7.54,inositol-trisphosphate 3-kinase A,notccd,Cell
G02,G02_55225983,HPA040503,CEP192,ENSG00000101639,27.7,centrosomal protein 192kDa,notccd,Cytosol
H02,H02_55225983,HPA040518,SLC16A14,ENSG00000163053,1.17,"solute carrier family 16, member 14",notccd,Cell
A03,A03_55225983,HPA040598,CCDC102A,ENSG00000135736,15.03,coiled-coil domain containing 102A,no variation,not found in excel lookup
B03,B03_55225983,HPA040624,AQR,ENSG00000021776,3.52,aquarius intron-binding spliceosomal factor,notccd,Nucleus
C03,C03_55225983,HPA040674,PMPCB,ENSG00000105819,64.04,peptidase (mitochondrial processing) beta,notccd,Cell
D03,D03_55225983,HPA040716,ZMIZ2,ENSG00000122515,30.44,"zinc finger, MIZ-type containing 2",notccd,Cell
E03,E03_55225983,HPA040741,LEO1,ENSG00000166477,26.28,"LEO1 homolog, Paf1/RNA polymerase II complex component",notccd,Cell
F03,F03_55225983,HPA040748,BFSP1,ENSG00000125864,0.64,"beaded filament structural protein 1, filensin",notccd,Cell
G03,G03_55225983,HPA040759,CCDC113,ENSG00000103021,3.04,coiled-coil domain containing 113,ccd,nucleus
H03,H03_55225983,HPA040797,QPCTL,ENSG00000011478,12.81,glutaminyl-peptide cyclotransferase-like,no variation,not found in excel lookup
A04,A04_55225983,HPA040809,RBFOX1,ENSG00000078328,0.41,"RNA binding protein, fox-1 homolog (C. elegans) 1",notccd,Cell
B04,B04_55225983,HPA040830,ARHGAP11A,ENSG00000198826,71.49,Rho GTPase activating protein 11A,notccd,Cell
C04,C04_55225983,HPA040834,NIPBL,ENSG00000164190,42.37,Nipped-B homolog (Drosophila),ccd,nucleus
D04,D04_55225983,HPA040849,N4BP1,ENSG00000102921,5.98,NEDD4 binding protein 1,notccd,nucleus
E04,E04_55225983,HPA040865,CCDC68,ENSG00000166510,0.08,coiled-coil domain containing 68,negative,not found in excel lookup
F04,F04_55225983,HPA040875,DNAJA3,ENSG00000103423,17.88,"DnaJ (Hsp40) homolog, subfamily A, member 3",negative,not found in excel lookup
G04,G04_55225983,HPA040881,LARS,ENSG00000133706,79.59,leucyl-tRNA synthetase,negative,not found in excel lookup
H04,H04_55225983,HPA040895,HDDC3,ENSG00000184508,10.88,HD domain containing 3,notccd,Cell
A05,A05_55225983,HPA040923,PSTPIP2,ENSG00000152229,8.6,proline-serine-threonine phosphatase interacting protein 2,notccd,Cell
B05,B05_55225983,HPA040929,PPDPF,ENSG00000125534,200.71,pancreatic progenitor cell differentiation and proliferation factor,ccd,nucleus
C05,C05_55225983,HPA040930,FAM98C,ENSG00000130244,10.81,"family with sequence similarity 98, member C",notccd,Cell
D05,D05_55225983,HPA040973,SAMD10,ENSG00000130590,3.9,sterile alpha motif domain containing 10,no variation,not found in excel lookup
E05,E05_55225983,HPA041070,NPM2,ENSG00000158806,0.36,nucleophosmin/nucleoplasmin 2,no variation,not found in excel lookup
F05,F05_55225983,HPA041086,FTO,ENSG00000140718,19.73,fat mass and obesity associated,notccd,Cell
G05,G05_55225983,HPA041090,OCIAD2,ENSG00000145247,215.6,OCIA domain containing 2,notccd,Cell
H05,H05_55225983,HPA041093,MEX3B,ENSG00000183496,10.6,mex-3 RNA binding family member B,no variation,not found in excel lookup
A06,A06_55225983,HPA041117,CCDC86,ENSG00000110104,60.87,coiled-coil domain containing 86,notccd,Nucleus
B06,B06_55225983,HPA041134,SF3B3,ENSG00000189091,70.42,"splicing factor 3b, subunit 3, 130kDa",notccd,nucleus
C06,C06_55225983,HPA041174,TXNDC11,ENSG00000153066,12.57,thioredoxin domain containing 11,notccd,Cell
D06,D06_55225983,HPA041184,AMDHD2,ENSG00000162066,12.76,amidohydrolase domain containing 2,notccd,Cell
E06,E06_55225983,HPA041214,C16orf70,ENSG00000125149,19.32,chromosome 16 open reading frame 70,notccd,Nucleus
F06,F06_55225983,HPA041216,GINS3,ENSG00000181938,28.29,GINS complex subunit 3 (Psf3 homolog),notccd,nucleus
G06,G06_55225983,HPA041350,CIAPIN1,ENSG00000005194,61.05,cytokine induced apoptosis inhibitor 1,notccd,Cell
H06,H06_55225983,HPA041372,OAS3,ENSG00000111331,5.63,"2'-5'-oligoadenylate synthetase 3, 100kDa",notccd,Nucleus
A07,A07_55225983,HPA041454,CD83,ENSG00000112149,8.23,CD83 molecule,notccd,Cell
B07,B07_55225983,HPA041478,ENKD1,ENSG00000124074,11.86,enkurin domain containing 1,notccd,Cell
C07,C07_55225983,HPA041487,SULT2A1,ENSG00000105398,0.23,"sulfotransferase family, cytosolic, 2A, dehydroepiandrosterone (DHEA)-preferring, member 1",no variation,not found in excel lookup
D07,D07_55225983,HPA041551,PARD6A,ENSG00000102981,0.88,par-6 family cell polarity regulator alpha,notccd,Cell
E07,E07_55225983,HPA041563,C15orf59,ENSG00000205363,5.59,chromosome 15 open reading frame 59,notccd,Cell
F07,F07_55225983,HPA041601,ALG2,ENSG00000119523,30.12,"ALG2, alpha-1,3/1,6-mannosyltransferase",notccd,Cell
G07,G07_55225983,HPA041624,PGF,ENSG00000119630,10.8,placental growth factor,notccd,Cell
H07,H07_55225983,HPA041640,SOX8,ENSG00000005513,0.74,SRY (sex determining region Y)-box 8,ccd,Nucleus
A08,A08_55225983,HPA041690,ABAT,ENSG00000183044,5.55,4-aminobutyrate aminotransferase,notccd,Cell
B08,B08_55225983,HPA041698,BLVRB,ENSG00000090013,104.29,biliverdin reductase B,notccd,Cell
C08,C08_55225983,HPA041715,CCDC184,ENSG00000177875,2.58,coiled-coil domain containing 184,notccd,Cytosol
D08,D08_55225983,HPA041717,TIGD1,ENSG00000221944,12.87,tigger transposable element derived 1,ccd,nucleus
E08,E08_55225983,HPA041752,CRAMP1,ENSG00000007545,10.98,cramped chromatin regulator homolog 1,notccd,Nucleus
F08,F08_55225983,HPA041779,FUZ,ENSG00000010361,6.35,fuzzy planar cell polarity protein,notccd,Cytosol
G08,G08_55225983,HPA041780,C15orf43,ENSG00000167014,0,chromosome 15 open reading frame 43,notccd,Nucleus
H08,H08_55225983,HPA041885,MVB12A,ENSG00000141971,12.41,multivesicular body subunit 12A,notccd,Cell
A09,A09_55225983,HPA041887,SHKBP1,ENSG00000160410,56.35,SH3KBP1 binding protein 1,no variation,not found in excel lookup
B09,B09_55225983,HPA041894,CTU2,ENSG00000174177,22.59,cytosolic thiouridylase subunit 2 homolog (S. pombe),notccd,Cell
C09,C09_55225983,HPA041911,DDX28,ENSG00000182810,6.99,DEAD (Asp-Glu-Ala-Asp) box polypeptide 28,notccd,Cell
D09,D09_55225983,HPA041923,FAM103A1,ENSG00000169612,33.82,"family with sequence similarity 103, member A1",notccd,Nucleus
E09,E09_55225983,HPA041945,RAB8A,ENSG00000167461,40.94,"RAB8A, member RAS oncogene family",notccd,Nucleus
F09,F09_55225983,HPA041970,CPPED1,ENSG00000103381,8.96,calcineurin-like phosphoesterase domain containing 1,notccd,Cell
G09,G09_55225983,HPA042008,SSC5D,ENSG00000179954,1.87,"scavenger receptor cysteine rich family, 5 domains",ccd,Cell
H09,H09_55225983,HPA042029,KATNAL2,ENSG00000167216,0.94,katanin p60 subunit A-like 2,notccd,Cell
A10,A10_55225983,HPA042050,SNRNP70,ENSG00000104852,195.47,small nuclear ribonucleoprotein 70kDa (U1),no variation,not found in excel lookup
B10,B10_55225983,HPA042083,RINL,ENSG00000187994,2.14,Ras and Rab interactor-like,notccd,Nucleus
C10,C10_55225983,HPA042159,DHX34,ENSG00000134815,13.24,DEAH (Asp-Glu-Ala-His) box polypeptide 34,notccd,Cell
D10,D10_55225983,HPA042289,ASH2L,ENSG00000129691,35.02,"ash2 (absent, small, or homeotic)-like (Drosophila)",ccd,Cell
E10,E10_55225983,HPA042318,ABCC8,ENSG00000006071,0.73,"ATP-binding cassette, sub-family C (CFTR/MRP), member 8",notccd,Nucleus
F10,F10_55225983,HPA042370,MFAP1,ENSG00000140259,35.46,microfibrillar-associated protein 1,notccd,Nucleus
G10,G10_55225983,HPA042511,LYPD5,ENSG00000159871,0.69,LY6/PLAUR domain containing 5,notccd,Cell
H10,H10_55225983,HPA042527,CEND1,ENSG00000184524,0.08,cell cycle exit and neuronal differentiation 1,no variation,not found in excel lookup
A11,A11_55225983,HPA042550,PPL,ENSG00000118898,0.39,periplakin,no variation,not found in excel lookup
B11,B11_55225983,HPA042559,CTB-50L17.10,ENSG00000167674,54.1,Hepatoma-derived growth factor-related protein 2 ,ccd,Cell
C11,C11_55225983,HPA042616,CENPV,ENSG00000166582,8.43,centromere protein V,ccd,Cell
D11,D11_55225983,HPA042621,DFNB59,ENSG00000204311,0.44,"deafness, autosomal recessive 59",notccd,Cell
E11,E11_55225983,HPA042626,CCDC148,ENSG00000153237,0.24,coiled-coil domain containing 148,notccd,Nucleus
F11,F11_55225983,HPA042636,ARHGAP40,ENSG00000124143,0.2,Rho GTPase activating protein 40,notccd,Nucleus
G11,G11_55225983,HPA042643,GRWD1,ENSG00000105447,50.2,glutamate-rich WD repeat containing 1,notccd,nucleus
H11,H11_55225983,HPA042652,FAM210B,ENSG00000124098,26.05,"family with sequence similarity 210, member B",notccd,Cell
A12,A12_55225983,HPA042692,RNASEH2A,ENSG00000104889,60.02,"ribonuclease H2, subunit A",notccd,Nucleus
B12,B12_55225983,HPA042740,ENPP6,ENSG00000164303,0.11,ectonucleotide pyrophosphatase/phosphodiesterase 6,no variation,not found in excel lookup
C12,C12_55225983,HPA042761,NUDT19,ENSG00000213965,8.12,nudix (nucleoside diphosphate linked moiety X)-type motif 19,notccd,Nucleus
D12,D12_55225983,HPA042776,ZNF573,ENSG00000189144,1.71,zinc finger protein 573,notccd,Cell
E12,E12_55225983,HPA042823,PSMC6,ENSG00000100519,179.24,"proteasome 26S subunit, ATPase 6",notccd,Cell
F12,F12_55225983,HPA042828,COPS4,ENSG00000138663,54.84,COP9 signalosome subunit 4,negative,not found in excel lookup
G12,G12_55225983,HPA042874,RPS19BP1,ENSG00000187051,154.14,ribosomal protein S19 binding protein 1,no variation,not found in excel lookup
A01,A01_55335984,HPA042898,ATP6V1G1,ENSG00000136888,91.96,"ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G1",no variation,not found in excel lookup
B01,B01_55335984,HPA042903,GPR37,ENSG00000170775,1.12,G protein-coupled receptor 37 (endothelin receptor type B-like),notccd,Nucleus
C01,C01_55335984,HPA042904,NUSAP1,ENSG00000137804,170.62,nucleolar and spindle associated protein 1,ccd,nucleus
D01,D01_55335984,HPA042923,DBF4,ENSG00000006634,1.17,DBF4 zinc finger,ccd,nucleus
E01,E01_55335984,HPA042927,PCOLCE,ENSG00000106333,97.46,procollagen C-endopeptidase enhancer,notccd,Cell
F01,F01_55335984,HPA042970,RNF166,ENSG00000158717,13.72,ring finger protein 166,notccd,Cell
G01,G01_55335984,HPA043018,DBNDD1,ENSG00000003249,16.31,dysbindin (dystrobrevin binding protein 1) domain containing 1,notccd,Nucleus
H01,H01_55335984,HPA043022,C10orf82,ENSG00000165863,0,chromosome 10 open reading frame 82,notccd,Cell
A02,A02_55335984,HPA043054,GSKIP,ENSG00000100744,15.85,GSK3B interacting protein,notccd,Cell
B02,B02_55335984,HPA043110,KRI1,ENSG00000129347,23.93,KRI1 homolog,ccd,nucleus
C02,C02_55335984,HPA043148,GPRIN3,ENSG00000185477,0.2,GPRIN family member 3,notccd,nucleus
D02,D02_55335984,HPA043209,MFSD10,ENSG00000109736,30.89,major facilitator superfamily domain containing 10,notccd,Nucleus
E02,E02_55335984,HPA043219,CCDC106,ENSG00000173581,8.38,coiled-coil domain containing 106,no variation,not found in excel lookup
F02,F02_55335984,HPA043274,MPND,ENSG00000008382,11.13,MPN domain containing,notccd,nucleus
G02,G02_55335984,HPA043323,SPATA12,ENSG00000186451,0.68,spermatogenesis associated 12,notccd,Nucleus
H02,H02_55335984,HPA043489,ANKRD7,ENSG00000106013,0.89,ankyrin repeat domain 7,ccd,Nucleus
A03,A03_55335984,HPA043707,FUT6,ENSG00000156413,0.14,"fucosyltransferase 6 (alpha (1,3) fucosyltransferase)",no variation,not found in excel lookup
B03,B03_55335984,HPA043744,TMEM134,ENSG00000172663,9.59,transmembrane protein 134,notccd,Cytosol
C03,C03_55335984,HPA043746,CLK4,ENSG00000113240,3.45,CDC-like kinase 4,notccd,Cell
