Antibody RRID	Reliability (IF)
HPA035011: AB_10601386, HPA063861: 	Enhanced
HPA016820: AB_1855079, HPA019887: AB_1855080, HPA032101: 	Enhanced
HPA053532: 	Approved
HPA013815: AB_2236561, HPA014427: AB_1855081	Approved
HPA018084: AB_1855083	Approved
HPA002076: AB_1078322, HPA003390: AB_2066703	Approved
CAB017623: AB_2251882, HPA042927: 	Approved
HPA013203: AB_1855084	Approved
HPA057428: 	Approved
HPA005792: AB_1855086	Approved
HPA052833: 	Approved
HPA003925: AB_1079582, HPA064734: AB_2685339	Approved
HPA049627: 	Approved
HPA031072: AB_10602190	Supported
HPA022979: 	Approved
HPA037463: AB_10673632, HPA038402: 	Approved
HPA035428: AB_10602045	Approved
HPA023033: AB_1855094, HPA023034: AB_1855095	Supported
CAB021103: AB_10057973, HPA050294: , HPA060836: 	Enhanced
CAB026472: , HPA017924: AB_10601045	Supported
HPA013411: AB_1855102	Approved
HPA026713: AB_1855103, HPA075534: 	Approved
HPA052181: 	Approved
CAB037024: AB_1841089, HPA001032: AB_1079586, HPA027214: AB_1855107	Approved
HPA018471: AB_1855108	Approved
HPA047221: 	Approved
CAB016212: AB_673819, HPA011905: AB_1855111, HPA051604: 	Enhanced
HPA049388: 	Approved
CAB026473: , HPA021571: AB_1855114, HPA021647: AB_1855115	Approved
HPA018469: AB_1855116, HPA027094: AB_10601387	Enhanced
HPA022151: AB_1855118	Approved
HPA052375: 	Approved
CAB009752: AB_2268159, HPA031192: 	Supported
HPA014492: AB_1855120, HPA074258: 	Approved
HPA056111: 	Approved
CAB017632: AB_1127109, HPA043310: , HPA076091: 	Supported
HPA003005: AB_1079587	Approved
HPA045895: AB_10960275	Supported
HPA012678: AB_1855123	Supported
HPA004729: AB_1079588, HPA012873: AB_1855124	Approved
HPA054148: , HPA059929: 	Approved
HPA045118: 	Uncertain
HPA045118: 	Uncertain
HPA023967: AB_1855128	Approved
HPA007722: AB_1855130	Approved
HPA036911: , HPA036912: AB_10670377	Approved
HPA011380: AB_1855132	Approved
HPA063409: 	Approved
CAB005579: AB_2161916	Approved
CAB011604: AB_2162180, CAB018341: AB_2162187, HPA011972: AB_1855134	Approved
HPA009134: AB_10601981	Supported
HPA046183: , HPA066271: 	Approved
CAB018143: AB_2162351, HPA004947: 	Approved
CAB003842: AB_562328, CAB018144: AB_2162497, HPA028499: AB_10602018	Supported
HPA052801: 	Approved
HPA047487: , HPA047864: , HPA063053: 	Supported
HPA047487: , HPA047864: , HPA063053: 	Supported
CAB033794: AB_2162946, HPA036744: AB_10670921, HPA036745: AB_2675285	Supported
HPA038484: AB_10669645, HPA038485: AB_10669540	Approved
CAB011199: AB_609902, CAB015181: AB_2160857, CAB075744: , HPA002645: AB_1079031, HPA003230: AB_1079030	Enhanced
CAB017368: AB_10621725, HPA006139: AB_1848256, HPA006140: AB_1848257	Supported
HPA030353: AB_10599734, HPA030355: AB_10602200	Supported
CAB034347: AB_2299360, HPA034652: AB_2674263, HPA034653: AB_10601982	Supported
HPA064157: 	Supported
CAB017554: AB_2161138, HPA027376: AB_1855139, HPA059083: 	Approved
HPA008287: AB_1079589	Supported
HPA046583: , HPA072492: 	Supported
CAB072838: , CAB072840: , HPA017010: AB_1855147	Supported
HPA003880: AB_1855149	Supported
HPA004749: AB_1855150	Supported
HPA011912: AB_1856277	Approved
CAB013511: AB_2533388, HPA016740: AB_1855153, HPA020026: AB_1855154	Supported
HPA018794: AB_1855155, HPA048815: AB_2680530	Enhanced
HPA018483: AB_1855634, HPA019081: AB_1855633, HPA021152: AB_1855635	Supported
HPA019950: AB_1855156, HPA062059: 	Supported
CAB004272: AB_626657, HPA035199: , HPA068961: 	Approved
CAB008376: AB_592530, HPA007534: AB_1857718, HPA073453: 	Approved
HPA048092: , HPA070386: 	Approved
HPA047084: , HPA063542: 	Approved
HPA036661: AB_2675233, HPA036662: AB_10696783	Enhanced
HPA039513: AB_10671999, HPA040015: AB_10671047	Enhanced
HPA038032: AB_10670650, HPA042741: 	Approved
HPA029685: AB_10600219, HPA029686: AB_10602309	Enhanced
CAB025873: , HPA059146: 	Supported
HPA047369: , HPA049121: , HPA051484: 	Enhanced
CAB033918: AB_2162502, HPA030196: AB_10599735, HPA030197: AB_10601792, HPA030198: AB_10603570	Enhanced
CAB020784: , HPA036503: , HPA036504: , HPA064387: , HPA076072: 	Approved
HPA074542: 	Supported
HPA015716: AB_1855162, HPA051610: 	Approved
CAB008971: , HPA005755: AB_1855164, HPA006155: AB_1855163	Approved
HPA014907: AB_1855166	Approved
HPA028356: AB_10602814, HPA070820: 	Approved
HPA035217: AB_10669902	Approved
CAB013493: AB_2533305, HPA008819: AB_1855173, HPA063904: 	Supported
HPA021593: AB_1855177, HPA022539: AB_1855178	Supported
HPA061608: 	Approved
HPA021324: AB_1855181, HPA029915: , HPA051038: 	Approved
HPA026070: AB_10603328	Supported
HPA053182: 	Approved
HPA053182: 	Approved
CAB033750: AB_2161361, HPA038875: , HPA062281: 	Approved
HPA031458: AB_10602141	Approved
HPA053966: , HPA056028: , HPA060760: 	Enhanced
HPA042375: AB_10796905	Approved
HPA015599: AB_1855192, HPA072045: 	Approved
HPA047947: , HPA067064: 	Supported
HPA019530: AB_1855201	Supported
HPA040210: AB_2676885, HPA062439: AB_2684764, HPA066670: AB_2685700	Enhanced
HPA067288: 	Approved
HPA020235: AB_1855224	Supported
HPA049458: , HPA049755: 	Approved
HPA017150: , HPA050104: 	Supported
CAB032689: AB_2162137, HPA032141: AB_2674176, HPA032142: AB_10669676	Supported
HPA046104: , HPA049231: 	Supported
HPA044837: AB_10962496, HPA051966: 	Supported
HPA010983: , HPA011410: AB_1854922, HPA027729: AB_10610416	Supported
HPA042830: AB_10794918, HPA058006: AB_2683576	Supported
HPA039259: AB_10673419, HPA039260: AB_2676417	Supported
HPA025924: AB_1855230, HPA074179: 	Supported
HPA049202: 	Supported
HPA022140: AB_1855232, HPA022886: AB_1855233	Approved
HPA006499: AB_1079596	Approved
HPA028700: AB_10603983, HPA058304: 	Enhanced
HPA008587: AB_1079597	Supported
HPA043032: AB_2678278, HPA048123: AB_2680273	Approved
HPA049975: , HPA063575: 	Enhanced
CAB020795: , HPA008266: AB_1855239, HPA043889: 	Enhanced
HPA047719: , HPA066058: 	Approved
HPA002117: AB_1855245	Approved
HPA018257: AB_10960391, HPA056484: 	Supported
CAB037134: AB_1079599, CAB037140: AB_1079598	Supported
HPA042528: , HPA060483: 	Approved
HPA043801: , HPA050314: , HPA060173: 	Approved
HPA042528: , HPA060483: 	Approved
CAB068215: , HPA036978: AB_10964347, HPA036979: AB_10960559	Supported
HPA063099: 	Approved
HPA016591: AB_1855203	Approved
HPA007267: AB_1079601	Approved
HPA029888: AB_10600088, HPA029889: AB_10611386, HPA029890: AB_10602002	Supported
HPA040896: AB_10805831, HPA059823: 	Approved
HPA065010: 	Approved
HPA031717: AB_10670130, HPA031718: AB_10610148	Approved
HPA031314: AB_10610278, HPA031315: AB_2673825	Approved
HPA041624: AB_10794522	Approved
HPA039383: AB_10796225, HPA058829: 	Enhanced
HPA030646: AB_10602019	Approved
HPA040744: AB_2677111, HPA042032: AB_2677809	Supported
CAB033468: AB_1127187, HPA046311: , HPA075237: 	Approved
CAB025879: 	Supported
CAB004666: AB_425590, HPA024190: AB_1855266, HPA024637: AB_1855267, HPA046329: 	Approved
HPA040676: AB_2677076	Approved
HPA056995: , HPA060948: 	Approved
CAB004998: AB_425591, HPA029759: AB_10600305, HPA029760: AB_10601109	Approved
CAB034397: AB_1118633, HPA046329: , HPA067102: 	Uncertain
HPA043096: AB_2678311, HPA046739: AB_2679779	Approved
HPA035368: AB_10601388, HPA055277: 	Approved
HPA002877: AB_1079602, HPA064724: 	Enhanced
HPA041172: AB_2677345, HPA058652: AB_2683786	Approved
HPA022526: AB_1855271	Approved
HPA029755: AB_10600089, HPA029756: AB_10601852, HPA029757: AB_10669870	Uncertain
HPA051834: , HPA054847: 	Enhanced
HPA028985: AB_10602142	Approved
HPA059630: , HPA070326: 	Enhanced
HPA003280: AB_1855732	Supported
CAB014889: , CAB026335: AB_2283865, HPA039874: AB_2616448	Enhanced
HPA006973: AB_1855278	Supported
HPA047403: AB_10964220	Supported
HPA039162: AB_10671038, HPA062031: 	Supported
HPA031038: AB_10671365	Approved
HPA055649: 	Supported
HPA016566: , HPA016708: AB_1855286	Supported
HPA021410: AB_1855287, HPA021452: 	Enhanced
HPA000538: AB_1079604, HPA017376: 	Approved
HPA010831: AB_1855294	Supported
HPA029619: AB_10600090, HPA029620: AB_10601110, HPA029621: AB_10602201	Supported
HPA025060: AB_10599822, HPA028417: AB_10602278	Approved
HPA023253: , HPA023580: AB_10962727	Approved
HPA053834: , HPA074665: 	Uncertain
HPA052410: 	Enhanced
HPA024676: AB_10599736, HPA025763: AB_10600987	Approved
HPA028885: AB_10602079	Enhanced
HPA001023: AB_1079606	Supported
HPA036283: AB_10795026, HPA070305: 	Supported
HPA038779: AB_10675950, HPA062015: 	Supported
CAB003681: AB_425928, CAB068216: , HPA021241: AB_1855299, HPA024031: AB_1855300	Enhanced
HPA068787: 	Approved
HPA019140: , HPA019838: 	Supported
HPA001081: AB_1079607	Approved
HPA002912: AB_10961321	Approved
HPA073380: 	Approved
HPA065618: AB_2685520, HPA068751: AB_2686025	Supported
CAB016160: AB_628117, HPA019000: AB_1855309, HPA063520: 	Supported
HPA003994: AB_1855311	Uncertain
HPA037959: AB_10673651, HPA038448: AB_10697390, HPA061506: 	Approved
HPA035146: AB_10600927, HPA035147: 	Supported
HPA043425: AB_10797142	Approved
HPA048598: 	Approved
HPA065025: 	Approved
HPA034726: AB_10602191, HPA034727: 	Approved
HPA053810: , HPA065621: , HPA078004: 	Enhanced
HPA074325: , HPA074941: 	Enhanced
CAB013584: , HPA020952: AB_1855331	Approved
HPA059486: 	Approved
HPA012312: 	Approved
HPA012115: AB_1859448	Approved
HPA069318: 	Approved
HPA038746: AB_10673293	Approved
HPA036461: AB_10670717, HPA063608: 	Approved
HPA006593: AB_1078568, HPA030057: AB_10602143	Approved
CAB009449: AB_2252354, HPA017737: AB_1848107	Approved
CAB030649: , HPA076857: 	Approved
HPA004099: AB_1855353	Supported
CAB009092: AB_2164033, HPA075515: 	Approved
CAB022071: , HPA006280: AB_1079613, HPA006281: AB_1079614	Supported
HPA010631: AB_10603680	Approved
CAB012304: AB_777265, HPA005743: 	Approved
HPA068792: 	Supported
HPA006389: , HPA067383: 	Supported
HPA010598: AB_1079616	Approved
HPA052269: , HPA066120: 	Supported
HPA019053: AB_1855361, HPA019061: AB_1855362	Enhanced
HPA067384: , HPA072674: 	Approved
HPA036103: AB_10602144	Approved
CAB012647: , HPA055473: 	Approved
HPA015986: AB_1848395, HPA031974: AB_10603675, HPA031975: , HPA040616: 	Approved
CAB018701: AB_2164654	Supported
HPA039929: AB_10673539	Uncertain
HPA015997: AB_2164679	Uncertain
HPA012739: AB_1855367	Approved
HPA039922: AB_10805597, HPA040374: AB_10794738	Enhanced
HPA014905: AB_1855369	Approved
HPA026921: AB_1847874	Approved
HPA039105: AB_10796221, HPA039828: AB_10795158, HPA061414: 	Approved
HPA041706: , HPA046766: 	Approved
HPA054181: 	Approved
HPA023499: 	Approved
HPA029409: AB_10610280	Approved
HPA058599: , HPA059920: 	Uncertain
HPA047258: AB_10964561	Approved
HPA039496: AB_10959385	Uncertain
CAB026136: , HPA038452: 	Approved
HPA037641: AB_10671878, HPA037642: AB_10697081	Supported
HPA030515: AB_10670043, HPA050360: 	Approved
CAB017804: , HPA009985: AB_1079610	Approved
CAB031938: AB_2165408, HPA042288: , HPA064207: 	Supported
CAB015420: AB_831654, HPA044953: 	Approved
HPA069976: 	Supported
CAB004268: AB_628126, HPA001216: AB_1079612	Approved
HPA069291: 	Approved
HPA005751: AB_1855350, HPA071988: 	Approved
HPA036032: AB_10610281, HPA036033: 	Approved
HPA044505: , HPA052247: , HPA052412: 	Supported
HPA023077: AB_1854909	Approved
HPA042558: , HPA042604: AB_10796580	Supported
HPA026750: AB_10670828	Approved
CAB017040: , HPA003941: AB_1079618	Supported
HPA000285: AB_1079619	Approved
HPA068758: 	Supported
HPA043783: , HPA049934: 	Enhanced
CAB004528: AB_628132, CAB009326: AB_2237080, HPA068650: , HPA070887: 	Enhanced
HPA054483: , HPA064504: AB_2685274	Supported
HPA061218: 	Approved
HPA023139: AB_1855384, HPA023146: 	Supported
HPA065440: , HPA068771: 	Approved
HPA047875: , HPA062220: 	Supported
HPA028658: AB_10601245, HPA058551: 	Approved
HPA029366: AB_10602116	Supported
HPA009687: AB_1855391	Approved
HPA017168: AB_1855395	Approved
HPA056240: 	Supported
HPA000697: AB_1079621	Supported
HPA042337: AB_10794795	Uncertain
HPA031090: AB_10600114, HPA031091: AB_10600893	Approved
HPA000528: AB_1079622	Approved
HPA000528: AB_1079622	Approved
HPA026563: AB_1855409, HPA031250: 	Approved
HPA060227: 	Supported
HPA003414: AB_1855410, HPA003978: AB_1855411	Supported
HPA022432: AB_2670936, HPA059005: AB_2683876	Approved
HPA006753: AB_1079624, HPA006754: AB_1079623	Supported
HPA008743: AB_1855413	Approved
HPA050074: , HPA062728: 	Enhanced
HPA036587: , HPA036588: AB_10673502, HPA057508: AB_2683452	Approved
HPA000595: AB_1079826	Approved
HPA040347: AB_10795631, HPA057636: 	Enhanced
HPA042621: AB_10797503	Supported
CAB004544: AB_672377, HPA015794: AB_1855437	Supported
HPA041903: , HPA043634: 	Approved
HPA042703: AB_10797018, HPA063690: 	Supported
CAB034376: AB_2163671, CAB034378: AB_2252321, HPA006653: 	Approved
CAB019421: AB_2252325, HPA029501: AB_10602118	Enhanced
HPA068860: 	Supported
CAB010278: AB_2163965, HPA003982: AB_1855440	Supported
HPA034861: , HPA057913: 	Supported
HPA045390: , HPA058305: 	Approved
CAB004285: AB_2164128, HPA057215: , HPA065017: 	Supported
CAB034342: AB_2164138, HPA028867: , HPA055368: , HPA066962: 	Enhanced
CAB033130: AB_2164139, HPA027221: AB_10599737	Approved
CAB037336: , HPA014314: AB_1855451, HPA056908: AB_2683272	Enhanced
CAB012993: AB_2533221, HPA062937: 	Enhanced
CAB037334: , HPA066647: , HPA070648: 	Enhanced
HPA059740: 	Approved
HPA041702: AB_10794486, HPA041727: AB_10793931	Supported
HPA058997: 	Uncertain
CAB010050: AB_631312, HPA050062: , HPA054206: 	Supported
HPA043083: AB_10795714	Approved
HPA042713: AB_10793982, HPA056752: 	Approved
HPA001171: AB_1079145	Approved
CAB068217: , CAB068218: 	Approved
CAB005035: AB_562036, HPA020994: AB_1855444, HPA020996: AB_1855445	Supported
HPA040465: AB_10794875, HPA077912: 	Approved
HPA074266: 	Approved
HPA072290: 	Supported
HPA055706: 	Supported
HPA005900: AB_1079629	Approved
CAB009335: AB_2237146, HPA003412: AB_1858205	Approved
CAB073533: , HPA050843: 	Supported
CAB004275: AB_628118, CAB005334: AB_632196, HPA034743: , HPA057910: 	Approved
CAB009443: AB_632197, HPA041298: 	Approved
CAB009257: AB_654079, HPA039279: AB_2676425, HPA043907: AB_2678726	Enhanced
HPA007951: 	Approved
CAB009913: AB_2163388, HPA020107: AB_1855318, HPA021677: AB_1855319	Approved
HPA025711: AB_1855320, HPA053665: 	Approved
CAB009914: AB_2252306, HPA038139: AB_2675855, HPA038140: AB_2675856	Approved
HPA015597: AB_1855321, HPA015598: AB_1855322	Supported
CAB004277: AB_628119, HPA036681: , HPA036682: 	Enhanced
CAB004280: AB_628120, HPA020099: AB_1855324, HPA020100: AB_1855325	Approved
HPA036176: AB_10671837, HPA057978: 	Enhanced
HPA007721: AB_1079630	Approved
HPA055947: 	Approved
HPA046849: 	Approved
CAB020812: , HPA012800: AB_1855330	Supported
HPA028389: AB_10602145, HPA050367: 	Approved
CAB003847: AB_562198, HPA025967: AB_10601671, HPA029906: AB_10602279	Enhanced
HPA031838: AB_10602146, HPA057341: 	Approved
HPA001208: AB_1079631	Uncertain
HPA002043: AB_1079632, HPA064795: 	Enhanced
HPA004706: AB_1079633	Uncertain
HPA034496: AB_2674189, HPA034497: AB_10603126	Enhanced
HPA042978: , HPA048473: 	Approved
HPA035923: AB_10673491, HPA035924: AB_10672994, HPA041455: 	Approved
HPA028152: AB_10601048	Approved
HPA038610: AB_10671746, HPA066103: 	Enhanced
HPA072314: 	Supported
HPA027128: , HPA027319: AB_10600306, HPA028270: AB_10611388	Enhanced
HPA017973: , HPA048054: 	Approved
HPA063455: , HPA065323: , HPA073702: AB_2732238, HPA074734: AB_2732265	Supported
HPA055696: 	Approved
HPA036274: AB_10669668, HPA058157: 	Approved
HPA049570: 	Approved
HPA041459: AB_10794518, HPA058230: 	Supported
HPA047707: , HPA051964: 	Approved
HPA077225: 	Approved
HPA046234: 	Approved
HPA048989: 	Approved
HPA025018: AB_1855465, HPA039473: 	Supported
HPA035046: AB_10603128	Approved
HPA031742: AB_10670704	Approved
HPA061018: 	Supported
HPA040055: AB_10793954	Approved
HPA037583: AB_10671762	Approved
HPA008214: AB_1078363, HPA011144: AB_1078364	Uncertain
CAB033821: AB_2252681, CAB037333: , HPA024299: AB_1855467	Uncertain
CAB037331: , HPA016607: 	Supported
HPA006427: AB_1079289, HPA066538: 	Enhanced
HPA044682: AB_2679044, HPA054657: AB_2682559	Supported
HPA077050: 	Supported
CAB009624: AB_2167745, HPA069329: 	Approved
HPA017327: , HPA035026: AB_10602080, HPA043198: 	Supported
HPA049137: AB_2680649, HPA055799: AB_2682924	Uncertain
CAB025898: , HPA069126: 	Uncertain
CAB017033: , HPA023646: AB_1855741, HPA023733: AB_1855742	Enhanced
CAB033331: AB_2168044, HPA047815: 	Supported
HPA055540: 	Approved
HPA028892: AB_10602149, HPA072751: 	Supported
HPA045188: 	Approved
HPA055777: 	Approved
HPA018096: AB_1855609	Approved
HPA070252: 	Approved
HPA014760: , HPA014968: AB_1855702, HPA014979: 	Supported
HPA048973: 	Approved
HPA052293: , HPA057034: 	Approved
HPA018072: AB_1854958, HPA059085: 	Approved
HPA035931: AB_2674868, HPA035932: AB_10673224, HPA061486: 	Enhanced
HPA020433: , HPA076083: 	Approved
CAB070421: AB_11153452, HPA068923: 	Supported
HPA048387: , HPA068609: 	Supported
HPA002276: AB_1855479	Approved
HPA002279: AB_1079636	Approved
HPA017268: AB_10965928, HPA070793: 	Supported
CAB012483: , HPA007499: AB_1079637	Supported
HPA058989: 	Approved
HPA029919: AB_10671093, HPA052141: , HPA075592: 	Approved
CAB026155: , HPA066899: 	Approved
HPA030325: , HPA030326: , HPA030327: AB_10603129	Enhanced
HPA051063: 	Approved
HPA031649: 	Supported
HPA072291: 	Supported
HPA034583: , HPA071854: 	Approved
HPA034583: , HPA071854: 	Approved
HPA056716: , HPA075825: 	Approved
CAB010194: AB_2166848, CAB016304: AB_628162, HPA008312: AB_1079643	Enhanced
HPA030712: AB_10669600, HPA074950: 	Supported
HPA040852: AB_10794069, HPA063649: AB_2685074	Approved
HPA021648: AB_1855491, HPA063735: AB_2685108	Enhanced
HPA040674: AB_10961998, HPA074168: 	Enhanced
HPA031013: 	Supported
CAB010235: AB_2167281, HPA066490: , HPA070310: 	Enhanced
HPA007458: AB_1079644	Approved
HPA038796: AB_10672652, HPA075076: 	Supported
HPA010134: AB_1079645, HPA017068: AB_1855495	Enhanced
HPA006782: AB_1855496	Supported
HPA045007: , HPA052115: 	Uncertain
HPA012956: AB_1844328	Approved
HPA001378: AB_1079648	Supported
HPA056928: 	Supported
HPA001625: AB_1854577	Supported
HPA037853: AB_10671723	Uncertain
HPA055173: , HPA062602: , HPA075175: 	Enhanced
HPA058058: 	Approved
HPA009130: AB_2268411	Uncertain
HPA020083: AB_1851849	Approved
HPA023204: AB_1855506, HPA027776: AB_10601246	Enhanced
CAB033424: AB_2299801, HPA034602: AB_2674243, HPA034603: AB_10603130	Enhanced
HPA029839: AB_10601247, HPA066513: 	Approved
HPA027820: AB_10602147, HPA045837: AB_2679467	Supported
HPA076116: 	Approved
HPA037509: , HPA037510: AB_10672349, HPA061521: 	Enhanced
CAB016169: AB_628165, CAB062558: , CAB068219: , CAB068220: , HPA002110: AB_1855512, HPA045507: AB_2679356	Approved
CAB024934: , HPA042265: 	Approved
HPA002033: AB_1079650, HPA050027: 	Supported
HPA054519: , HPA059935: 	Approved
HPA007838: AB_1079651, HPA031630: AB_10601490	Supported
HPA037855: AB_10672728, HPA037856: AB_2732477	Supported
HPA006800: AB_1855516, HPA008781: AB_1855517	Enhanced
CAB012274: , HPA002947: AB_1079652	Supported
HPA037570: AB_10672280	Supported
CAB011616: AB_731977, HPA049104: 	Uncertain
CAB004375: AB_675487, HPA046524: 	Supported
HPA026745: AB_1855520	Enhanced
HPA058846: 	Supported
HPA078008: 	Approved
HPA007700: 	Approved
HPA018419: AB_1856928, HPA048790: 	Enhanced
HPA058210: , HPA067385: 	Supported
HPA027555: AB_10610282	Supported
HPA047945: 	Approved
HPA054979: , HPA071815: 	Approved
HPA056821: , HPA078482: 	Supported
CAB017030: , HPA023202: AB_1855523	Approved
HPA006721: AB_1847785, HPA026762: AB_10601248	Enhanced
HPA012000: AB_1847786, HPA064696: 	Supported
HPA012035: , HPA057303: , HPA068117: , HPA069375: 	Enhanced
HPA066704: 	Supported
HPA058900: , HPA066007: 	Supported
HPA035939: , HPA035940: 	Enhanced
HPA048931: , HPA053359: 	Uncertain
CAB010145: AB_675814, HPA031513: , HPA049700: 	Supported
HPA037528: AB_10671627	Supported
HPA031010: AB_10603131	Supported
HPA039337: AB_10672961	Approved
HPA022527: AB_1854924, HPA052400: 	Supported
CAB012226: AB_304749, CAB016388: AB_677353, CAB022311: 	Approved
HPA037506: AB_10672597	Supported
HPA040919: AB_10795483, HPA041826: AB_10793935	Supported
HPA034694: , HPA046092: AB_10963049	Supported
HPA063030: AB_2684926, HPA068992: AB_2686065	Supported
CAB009882: AB_2299942, HPA000827: AB_1079834	Supported
HPA053000: 	Supported
HPA037745: AB_10672914, HPA055813: 	Supported
HPA035632: , HPA045156: AB_10964748	Enhanced
HPA046970: 	Approved
HPA046970: 	Approved
HPA011403: , HPA046970: 	Approved
HPA046970: 	Approved
HPA047477: 	Approved
HPA068141: 	Approved
HPA037926: AB_10672400	Supported
HPA036466: AB_10671842	Approved
HPA027508: AB_10600091, HPA027516: AB_10600894	Enhanced
HPA061331: , HPA067875: , HPA068461: , HPA069089: 	Enhanced
HPA041419: AB_2677468, HPA041477: AB_10796345	Enhanced
HPA049441: AB_2680768, HPA050173: , HPA072298: 	Approved
CAB010109: AB_2165718, HPA052658: 	Enhanced
HPA046787: AB_2679806	Supported
HPA005891: AB_1079653	Uncertain
HPA006366: AB_1079654	Supported
CAB003710: , HPA043809: , HPA049817: 	Enhanced
HPA043809: , HPA049817: 	Approved
HPA013321: AB_2668809	Approved
HPA026995: AB_1845546	Supported
HPA065252: 	Approved
HPA049817: 	Approved
HPA066194: 	Supported
HPA047598: , HPA069204: 	Approved
HPA021007: AB_10963575	Supported
HPA012514: 	Approved
CAB004372: AB_627391, HPA010136: AB_1079657	Approved
HPA049215: , HPA058413: 	Approved
HPA012306: AB_1854827	Approved
HPA068538: 	Supported
CAB002608: , HPA058559: , HPA064323: 	Supported
CAB002513: AB_442118, HPA049056: , HPA062096: , HPA064404: 	Enhanced
HPA019652: AB_1855585, HPA073468: 	Approved
HPA055980: , HPA073824: 	Enhanced
HPA047081: , HPA056261: 	Supported
HPA052792: , HPA056039: , HPA067151: AB_2685790	Enhanced
HPA062295: 	Supported
HPA038215: AB_10697245	Supported
CAB025600: , CAB026380: , CAB079773: AB_2687916, HPA058267: 	Supported
HPA058267: 	Supported
HPA077615: 	Approved
HPA047021: , HPA050411: 	Supported
HPA036870: AB_10671246, HPA066083: 	Uncertain
HPA019878: AB_1855601, HPA020096: AB_1855600	Supported
HPA030888: , HPA031671: AB_10603986, HPA031672: AB_2673988	Approved
CAB075701: , HPA058901: , HPA067049: 	Enhanced
CAB004282: AB_628115, HPA051239: , HPA063663: 	Enhanced
HPA063136: 	Supported
HPA050543: 	Supported
HPA036091: , HPA036092: AB_10603132	Approved
HPA045667: AB_2679412	Approved
HPA031361: AB_10602150, HPA031363: AB_2673844	Approved
HPA040929: AB_10794155	Approved
HPA034577: AB_10602817	Uncertain
CAB017032: , HPA042271: 	Supported
HPA043567: , HPA050340: 	Uncertain
HPA001924: AB_1079665	Approved
HPA001935: AB_1079667, HPA003911: AB_1079666	Approved
HPA038902: AB_10674844, HPA038903: AB_2676263	Supported
CAB011487: AB_443295, HPA012720: AB_1847399	Supported
HPA019520: AB_1847400, HPA019692: AB_1847401	Supported
HPA019357: , HPA020131: AB_1847405	Supported
HPA077416: 	Supported
HPA021788: AB_1847408, HPA057469: 	Supported
HPA062916: 	Approved
HPA035344: AB_10672863, HPA055637: 	Enhanced
HPA040765: , HPA062187: 	Supported
HPA031599: AB_2673950, HPA031600: AB_10600928	Enhanced
HPA036717: AB_10671969, HPA058165: 	Approved
HPA039380: AB_10673528	Supported
HPA037895: , HPA038442: AB_10673173	Approved
HPA042550: , HPA059859: 	Approved
HPA029209: 	Supported
HPA016745: AB_1855622	Approved
HPA022277: AB_1858839	Approved
HPA018462: AB_1855623, HPA019263: AB_1855624	Approved
HPA030989: AB_10669549, HPA030990: AB_10601249	Approved
HPA035530: AB_10670021, HPA035531: AB_10610283	Enhanced
CAB020694: , HPA044244: , HPA058777: 	Supported
HPA046045: 	Approved
HPA020066: AB_1855628, HPA020862: AB_1855629, HPA023891: AB_1855630	Supported
HPA019891: AB_1855631, HPA019953: AB_2170360	Approved
HPA036905: AB_10602818, HPA062291: 	Approved
HPA043577: 	Supported
CAB004541: AB_628161, HPA043900: , HPA064396: 	Supported
HPA030123: AB_10603987, HPA054287: 	Supported
CAB004545: AB_628177, HPA046833: 	Supported
CAB022558: , CAB069426: , HPA065425: 	Enhanced
CAB025501: , HPA047248: AB_2679996, HPA056756: AB_2683227	Enhanced
HPA043266: , HPA060174: 	Approved
HPA041296: , HPA071956: 	Supported
HPA024171: AB_1854266, HPA024640: AB_1854265	Approved
CAB015454: AB_2252775, HPA006394: AB_1079668	Supported
CAB005016: AB_2168576, HPA041231: , HPA059883: 	Enhanced
CAB005044: AB_562091, CAB009803: AB_2168720, HPA042097: , HPA054534: 	Supported
CAB018395: AB_2237473, HPA020240: AB_1849404	Uncertain
HPA061088: 	Approved
HPA023755: AB_1854268	Approved
HPA049571: 	Supported
HPA044745: AB_2679070, HPA051000: AB_2681304	Approved
HPA055043: 	Approved
HPA043729: , HPA059420: 	Approved
HPA036791: AB_10671713, HPA036792: 	Approved
HPA044686: AB_10795987, HPA063817: 	Enhanced
HPA043729: , HPA059420: 	Approved
HPA021604: , HPA051607: 	Approved
HPA041500: AB_10795122	Approved
HPA028731: AB_10602120	Approved
HPA041146: AB_10793870	Approved
HPA061600: 	Approved
HPA000244: , HPA000918: AB_2268692	Approved
HPA034500: AB_2674192, HPA034501: AB_10670965	Approved
HPA027406: AB_1854488, HPA027417: AB_1854489, HPA027452: AB_1854490	Enhanced
HPA027726: AB_1855653, HPA075591: 	Approved
CAB018600: AB_675841, HPA043236: 	Supported
CAB018599: AB_628178	Approved
CAB004034: AB_490763, HPA018908: AB_1855655	Approved
CAB079289: AB_659890, HPA042122: , HPA042770: 	Approved
HPA038118: AB_10697238, HPA042122: , HPA042770: 	Approved
HPA042122: , HPA042770: , HPA060473: 	Enhanced
HPA042122: , HPA042770: 	Approved
HPA035829: AB_10696513, HPA035830: AB_10670121, HPA065338: 	Approved
HPA026606: 	Supported
HPA040835: AB_10794152, HPA058834: 	Supported
HPA059288: 	Supported
HPA027553: AB_10602081	Approved
HPA029045: AB_10598912, HPA029046: AB_10600988	Approved
