To pos,well,well_plate,Antibody,Gene,Uniprot,U-2 OS (tpm),Gene desc,Protein class,ENSG,candidate,comment_variation,IF antibody state,IF antibody location score,IF antibody score,IF main antibody location,IF additional antibody location,IF spatial var,IF intensity var,IF spatial corr,IF intensity corr,IF siRNA score,WB overall score,WB U-251MG score,WB RT4 score
539,H08,H08_6722,HPA047752,ELOVL5,Q9NYP7,122.11,ELOVL fatty acid elongase 5,Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Potential drug targets;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000012660,Christian,,1000: Finished IF,Endoplasmic reticulum - 1 [3]: Supportive (auto),2:Supportive,Endoplasmic reticulum,,,,,,,3:Single band larger than predicted size in kDa (+20%) but partly supported by experimental and/or bioinformatic data.,3:Single band larger than predicted size in kDa (+20%) but partly supported by experimental and/or bioinformatic data.,4:No bands detected.
540,A09,A09_6722,HPA048267,GALK2,Q01415,10.30,galactokinase 2,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000156958,Christian,,1000: Finished IF,Cytosol - 7: Approved (auto);Nucleoplasm - 7: Approved (auto),3:Approved,Nucleoplasm;Cytosol,,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,1:Single band corresponding to the predicted size in kDa (+/-20%).
541,B09,B09_6722,HPA048330,GRK2,P25098,36.04,G protein-coupled receptor kinase 2,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000173020,Christian,,1000: Finished IF,Vesicles - 7: Approved (?),3:Approved,Vesicles,,,,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,6:Weak band of predicted size but with additional bands of higher intensity also present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
542,C09,C09_6722,HPA048437,ILK,Q13418,123.41,integrin linked kinase,Cancer-related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000166333,Christian,,1000: Finished IF,Focal adhesion sites - 3: Supportive (auto);Cell Junctions - 12: Uncertain (auto);Cytosol - 3: Supportive (auto);Nucleoplasm - 12: Uncertain (auto),2:Supportive,Cell Junctions;Focal adhesion sites,Nucleoplasm;Cytosol,,,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
543,D09,D09_6722,HPA049037,LATS2,Q9NRM7,16.79,large tumor suppressor kinase 2,Cytoskeleton related proteins;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000150457,Christian,,1000: Finished IF,Cytosol - 3: Supportive (auto);Centriolar satellite - 3: Supportive (auto),2:Supportive,Centriolar satellite;Cytosol,,,,,,,7:Only bands not corresponding to the predicted size.,7:Only bands not corresponding to the predicted size.,7:Only bands not corresponding to the predicted size.
544,E09,E09_6722,HPA049405,FKBP2,P26885,104.44,FK506 binding protein 2,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000173486,Christian,,1000: Finished IF,Plasma membrane - 7: Approved (auto),3:Approved,Plasma membrane,,,,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,4:No bands detected.,1:Single band corresponding to the predicted size in kDa (+/-20%).
545,F09,F09_6722,HPA050659,HMBS,P08397,13.74,hydroxymethylbilane synthase,Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000256269,Christian,,1000: Finished IF,Lipid droplets - 7: Approved (auto),3:Approved,Lipid droplets,,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,4:No bands detected.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
546,G09,G09_6722,HPA051466,LPIN3,Q9BQK8,3.17,lipin 3,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Peptideatlas),ENSG00000132793,Christian,,1000: Finished IF,Cytosol - 7: Approved (auto),3:Approved,Cytosol,,,,,,,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,4:No bands detected.,4:No bands detected.
547,H09,H09_6722,HPA052294,KMT5C,Q86Y97,4.87,lysine methyltransferase 5C,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Peptideatlas),ENSG00000133247,Christian,,1000: Finished IF,Nucleoplasm - 3: Supportive (auto),2:Supportive,Nucleoplasm,,,,,,,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,4:No bands detected.
548,A10,A10_6722,HPA052432,EYA3,Q99504,8.80,EYA transcriptional coactivator and phosphatase 3,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000158161,Christian,,1000: Finished IF,Nucleoplasm - 3: Supportive (auto),2:Supportive,Nucleoplasm,,,,,,,4:No bands detected.,4:No bands detected.,4:No bands detected.
549,B10,B10_6722,HPA052880,MCM5,P33992,162.57,minichromosome maintenance complex component 5,Cancer-related genes;Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000100297,Christian,,1000: Finished IF,Nucleoplasm - 3: Supportive (auto),2:Supportive,Nucleoplasm,,,,,,1:Significant downregulation > 25% by both siRNA:s.,4:No bands detected.,4:No bands detected.,4:No bands detected.
550,C10,C10_6722,HPA053478,MANBA,O00462,6.67,mannosidase beta,Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Plasma proteins by Leigh Anderson;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000109323,Christian,,1000: Finished IF,Vesicles - 3: Supportive (manual),2:Supportive,Vesicles,,,,,,,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,4:No bands detected.,4:No bands detected.
551,D10,D10_6722,HPA054971,FGGY,Q96C11,3.04,FGGY carbohydrate kinase domain containing,Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000172456,Christian,,1000: Finished IF,Nuclear bodies - 7: Approved (auto);Nucleoplasm - 7: Approved (manual),3:Approved,Nucleoplasm;Nuclear bodies,,,,,,,4:No bands detected.,4:No bands detected.,4:No bands detected.
552,E10,E10_6722,HPA055230,ITPK1,Q13572,18.24,inositol-tetrakisphosphate 1-kinase,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000100605,Christian,,1000: Finished IF,Mitochondria - 7: Approved (auto),3:Approved,Mitochondria,,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
553,F10,F10_6722,HPA056385,HSD11B2,P80365,0.55,hydroxysteroid 11-beta dehydrogenase 2,Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000176387,Christian,,1000: Finished IF,Vesicles - 8: Approved (manual),3:Approved,Vesicles,,,,,,,3:Single band larger than predicted size in kDa (+20%) but partly supported by experimental and/or bioinformatic data.,4:No bands detected.,4:No bands detected.
554,G10,G10_6722,HPA057052,LIPA,P38571,16.04,"lipase A, lysosomal acid type",Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000107798,Christian,,1000: Finished IF,Vesicles - 3: Supportive (auto);Nucleoli fibrillar center - 12: Uncertain (auto),2:Supportive,Vesicles,Nucleoli fibrillar center,,,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
555,H10,H10_6722,HPA059136,GALNT16,Q8N428,21.21,polypeptide N-acetylgalactosaminyltransferase 16,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000100626,Christian,,1000: Finished IF,Nucleoplasm - 7: Approved (auto),3:Approved,Nucleoplasm,,,,,,,4:No bands detected.,4:No bands detected.,4:No bands detected.
556,A11,A11_6722,HPA059151,FN3K,Q9H479,1.63,fructosamine 3 kinase,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000167363,Christian,,1000: Finished IF,Mitochondria - 7: Approved (auto),3:Approved,Mitochondria,,,Mitochondria,,,,4:No bands detected.,4:No bands detected.,4:No bands detected.
557,B11,B11_6722,HPA059291,EYA2,O00167,4.98,EYA transcriptional coactivator and phosphatase 2,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Plasma proteins;Predicted intracellular proteins;Protein evidence (Peptideatlas),ENSG00000064655,Christian,,1000: Finished IF,Cytosol - 3: Supportive (auto),2:Supportive,Cytosol,,,,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,4:No bands detected.,1:Single band corresponding to the predicted size in kDa (+/-20%).
558,C11,C11_6722,HPA060847,HSD3B7,Q9H2F3,2.99,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7",Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Potential drug targets;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000099377,Christian,,1000: Finished IF,Lipid droplets - 6 [12]: Approved (auto),3:Approved,Lipid droplets,,,,,,,7:Only bands not corresponding to the predicted size.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.
559,D11,D11_6722,HPA061546,MCCC2,Q9HCC0,23.10,methylcrotonoyl-CoA carboxylase 2,Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000131844,Christian,,1000: Finished IF,Mitochondria - 1 [3]: Supportive (auto),2:Supportive,Mitochondria,,,,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
560,E11,E11_6722,HPA062743,FNTB,P49356,30.49,"farnesyltransferase, CAAX box, beta",Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000257365,Christian,,1000: Finished IF,Centrosome - 7: Approved (auto);Cytosol - 7: Approved (auto),3:Approved,Centrosome,Cytosol,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,4:No bands detected.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
561,F11,F11_6722,HPA063893,EIF2AK2,P19525,49.34,eukaryotic translation initiation factor 2 alpha kinase 2,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000055332,Christian,,1000: Finished IF,Cytosol - 1 [3]: Supportive (auto),2:Supportive,Cytosol,,,,,,,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.
562,G11,G11_6722,HPA064495,KMT5A,Q9NQR1,21.73,lysine methyltransferase 5A,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Peptideatlas),ENSG00000183955,Christian,,1000: Finished IF,Nucleoplasm - 3: Supportive (?);Cytosol - 12: Uncertain (?),2:Supportive,Nucleoplasm,Cytosol,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,7:Only bands not corresponding to the predicted size.,7:Only bands not corresponding to the predicted size.
563,H11,H11_6722,HPA065052,KAT6A,Q92794,18.71,lysine acetyltransferase 6A,Cancer related proteins;Cancer-related genes;Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas);Transcription factors,ENSG00000083168,Christian,,1000: Finished IF,Cytosol - 12: Uncertain (auto);Nuclear speckles - 3: Supportive (auto);Nucleoli - 3: Supportive (auto),2:Supportive,Nuclear speckles;Cytosol,Nucleoli,,,,,,7:Only bands not corresponding to the predicted size.,7:Only bands not corresponding to the predicted size.,7:Only bands not corresponding to the predicted size.
564,A12,A12_6722,HPA065409,L2HGDH,Q9H9P8,22.57,L-2-hydroxyglutarate dehydrogenase,Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000087299,Christian,,1000: Finished IF,Mitochondria - 1 [3]: Supportive (?),2:Supportive,Mitochondria,,,,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,4:No bands detected.,1:Single band corresponding to the predicted size in kDa (+/-20%).
565,B12,B12_6722,HPA067052,G6PC3,Q9BUM1,58.09,glucose-6-phosphatase catalytic subunit 3,Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Potential drug targets;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000141349,Christian,,1000: Finished IF,Endoplasmic reticulum - 3: Supportive (auto),2:Supportive,Endoplasmic reticulum,,,,,,,3:Single band larger than predicted size in kDa (+20%) but partly supported by experimental and/or bioinformatic data.,3:Single band larger than predicted size in kDa (+20%) but partly supported by experimental and/or bioinformatic data.,4:No bands detected.
566,C12,C12_6722,HPA067204,FGFR3,P22607,2.16,fibroblast growth factor receptor 3,Cancer related proteins;Cancer-related genes;CD markers;Disease related genes;Enzymes;FDA approved drug targets;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas);RAS pathway related proteins,ENSG00000068078,Christian,,1000: Finished IF,Endoplasmic reticulum - 3: Supportive (?),2:Supportive,Endoplasmic reticulum,,,,,,,3:Single band larger than predicted size in kDa (+20%) but partly supported by experimental and/or bioinformatic data.,4:No bands detected.,4:No bands detected.
567,D12,D12_6722,HPA067740,EPHB1,P54762,3.73,EPH receptor B1,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000154928,Christian,,1000: Finished IF,Plasma membrane - 3: Supportive (auto);Cytosol - 12: Uncertain (auto);Endoplasmic reticulum - 12: Uncertain (auto),2:Supportive,Plasma membrane;Cytosol,Endoplasmic reticulum,,,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,7:Only bands not corresponding to the predicted size.,7:Only bands not corresponding to the predicted size.
568,E12,E12_6722,HPA070301,HERC4,Q5GLZ8,25.67,HECT and RLD domain containing E3 ubiquitin protein ligase 4,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000148634,Christian,,1000: Finished IF,Cytosol - 3: Supportive (auto);Nucleoli fibrillar center - 12: Uncertain (auto),2:Supportive,Nucleoli fibrillar center;Cytosol,,,,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
569,F12,F12_6722,HPA073760,HACL1,Q9UJ83,12.96,2-hydroxyacyl-CoA lyase 1,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000131373,Christian,,1000: Finished IF,Vesicles - 3: Supportive (manual);Nucleoplasm - 12: Uncertain (auto),2:Supportive,Nucleoplasm;Vesicles,,,,,,,7:Only bands not corresponding to the predicted size.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,7:Only bands not corresponding to the predicted size.
570,G12,G12_6722,HPA074747,GDE1,Q9NZC3,22.54,glycerophosphodiester phosphodiesterase 1,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000006007,Christian,,1000: Finished IF,Nucleoli - 7: Approved (auto);Nucleoplasm - 7: Approved (auto);Vesicles - 7: Approved (auto),3:Approved,Nucleoplasm;Nucleoli,Vesicles,,,,,,3:Single band larger than predicted size in kDa (+20%) but partly supported by experimental and/or bioinformatic data.,3:Single band larger than predicted size in kDa (+20%) but partly supported by experimental and/or bioinformatic data.,3:Single band larger than predicted size in kDa (+20%) but partly supported by experimental and/or bioinformatic data.
571,A01,A01_6724,HPA001081,PHKA1,P46020,6.60,phosphorylase kinase regulatory subunit alpha 1,Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000067177,Christian,,1000: Finished IF,Vesicles - 7: Approved (auto),3:Approved,Vesicles,,,,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,6:Weak band of predicted size but with additional bands of higher intensity also present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
572,B01,B01_6724,HPA001240,MPST,P25325,64.20,mercaptopyruvate sulfurtransferase,Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Plasma proteins;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000128309,Christian,,1000: Finished IF,Mitochondria - 7: Approved (auto);Cytosol - 7: Approved (auto),3:Approved,Mitochondria,Cytosol,,,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,,1:Single band corresponding to the predicted size in kDa (+/-20%).
573,C01,C01_6724,HPA001303,NMT2,O60551,26.20,N-myristoyltransferase 2,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000152465,Christian,,1000: Finished IF,Plasma membrane - 12: Uncertain (auto);Cytosol - 3: Supportive (auto);Golgi apparatus - 5: Approved (auto),2:Supportive,Golgi apparatus;Plasma membrane;Cytosol,,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
574,D01,D01_6724,HPA005466,MYBBP1A,Q9BQG0,30.90,MYB binding protein 1a,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000132382,Christian,,1000: Finished IF,Nucleoli - 3: Supportive (auto);Vesicles - 5: Approved (auto),2:Supportive,Nucleoli,Vesicles,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,1:Single band corresponding to the predicted size in kDa (+/-20%).,2:Band of predicted size in kDa (+/-20%) with additional bands present.
575,E01,E01_6724,HPA007308,NQO1,P15559,168.17,NAD(P)H quinone dehydrogenase 1,Cancer related proteins;Cancer-related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000181019,Christian,,1000: Finished IF,Cytosol - 3: Supportive (auto),2:Supportive,Cytosol,,,,,,1:Significant downregulation > 25% by both siRNA:s.,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
576,F01,F01_6724,HPA011739,PARP4,Q9UKK3,20.58,poly(ADP-ribose) polymerase family member 4,Cytoskeleton related proteins;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000102699,Christian,,1000: Finished IF,Cytosol - 3: Supportive (auto),2:Supportive,Cytosol,,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,1:Single band corresponding to the predicted size in kDa (+/-20%).,2:Band of predicted size in kDa (+/-20%) with additional bands present.
577,G01,G01_6724,HPA011993,MGLL,Q99685,15.35,monoglyceride lipase,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000074416,Christian,,1000: Finished IF,Nucleoplasm - 2 [7]: Supportive (auto),2:Supportive,Nucleoplasm,,,,,,,4:No bands detected.,4:No bands detected.,4:No bands detected.
578,H01,H01_6724,HPA012063,PARP14,Q460N5,10.07,poly(ADP-ribose) polymerase family member 14,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000173193,Christian,,1000: Finished IF,Cytosol - 3: Supportive (auto),2:Supportive,Cytosol,,,,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,6:Weak band of predicted size but with additional bands of higher intensity also present.
579,A02,A02_6724,HPA016908,NEK11,Q8NG66,2.18,NIMA related kinase 11,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000114670,Christian,,1000: Finished IF,Nucleoplasm - 3: Supportive (auto),2:Supportive,Nucleoplasm,,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,4:No bands detected.,4:No bands detected.
580,B02,B02_6724,HPA018193,NEK7,Q8TDX7,54.12,NIMA related kinase 7,Cytoskeleton related proteins;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas);Transporters,ENSG00000151414,Christian,,1000: Finished IF,Nucleoplasm - 3: Supportive (auto),2:Supportive,Nucleoplasm,,,Nucleoplasm,,,,7:Only bands not corresponding to the predicted size.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,7:Only bands not corresponding to the predicted size.
581,C02,C02_6724,HPA018441,NUP35,Q8NFH5,21.13,nucleoporin 35,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas);Transporters,ENSG00000163002,Christian,,1000: Finished IF,Nuclear membrane - 3: Supportive (auto);Nucleoplasm - 3: Supportive (auto);Plasma membrane - 12: Uncertain (auto),2:Supportive,Nucleoplasm;Nuclear membrane,Plasma membrane,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
582,D02,D02_6724,HPA018884,P4HB,P07237,537.63,prolyl 4-hydroxylase subunit beta,Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Plasma proteins by Leigh Anderson;Potential drug targets;Predicted intracellular proteins;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000185624,Christian,,1000: Finished IF,Endoplasmic reticulum - 3: Supportive (auto),2:Supportive,Endoplasmic reticulum,,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,6:Weak band of predicted size but with additional bands of higher intensity also present.
583,E02,E02_6724,HPA019674,NPAS2,Q99743,10.25,neuronal PAS domain protein 2,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas);Transcription factors;Transcription factors predicted,ENSG00000170485,Christian,,1000: Finished IF,Nucleoplasm - 3: Supportive (auto);Cytosol - 12: Uncertain (auto),2:Supportive,Nucleoplasm,Cytosol,,,,,,7:Only bands not corresponding to the predicted size.,7:Only bands not corresponding to the predicted size.,7:Only bands not corresponding to the predicted size.
